"","city","status","city_totpermits","city_totvaluation","city_totarea","declared.valuation_mean","declared.valuation_median","declared.valuation_tot","declared.valuation_min","declared.valuation_max","building.area_mean","building.area_median","building.area_tot","building.area_min","building.area_max","totpermits","declared.valuation_pct","building.area_pct","totpermits_pct"
"62","GAITHERSBURG","Stop Work",13834,721957231.01,721957231.01,63421.1654658385,27795,10210807.64,0,763639,1629.788125,580,260766.1,0,9703,162,0.0141432306533108,0.00036119327960078,0.0117102790226977
"63","GARRETT PARK","Finaled",357,31360124.3,31360124.3,89013.133640553,35000,19315850,0,8e+05,1087.31760368664,412,235947.92,5,8203,219,0.615936653031697,0.00752381966802345,0.613445378151261
"64","GARRETT PARK","Issued",357,31360124.3,31360124.3,74571.4539823009,23000,8426574.3,0,7e+05,950.689469026549,420,107427.91,0,7429,114,0.26870347258158,0.00342562130724718,0.319327731092437
"65","GARRETT PARK","Open",357,31360124.3,31360124.3,169923.529411765,25000,2888700,500,1496750,1080.57894736842,530,20531,32,7453,19,0.0921137930566174,0.000654684905059512,0.0532212885154062
"66","GARRETT PARK","Stop Work",357,31360124.3,31360124.3,145800,72000,729000,12000,5e+05,1939.8,937,9699,38,6588,5,0.0232460813301049,0.000309278110865141,0.0140056022408964
"67","GERMANTOWN","Finaled",10631,481346944.71,481346944.71,50802.982768093,15000,384680185.52,0,1500000,1227.03219881501,422,9319309.55,0,16124,7682,0.799174461887902,0.0193608989366592,0.722603706142414
"68","GERMANTOWN","Issued",10631,481346944.71,481346944.71,30819.1472741743,7300,77448517.1,0,9500000,656.012424121406,300,1642655.11,0,13833,2570,0.160899571403036,0.00341262186880538,0.241745837644624
"69","GERMANTOWN","Open",10631,481346944.71,481346944.71,41279.8125619835,9000,9989714.64,0,1158400,658.408181818182,240,159334.78,0,9553,245,0.0207536679099907,0.000331018575584801,0.0230458094252657
"70","GERMANTOWN","Stop Work",10631,481346944.71,481346944.71,68869.6078358209,37770,9228527.45,0,850000,6438.05813432836,762.5,862699.79,0,675500,134,0.0191722987990709,0.00179226190065412,0.0126046467876964
"71","GLEN ECHO","Finaled",125,10384500,10384500,106127.532467532,35000,8171820,0,5e+05,1109.8325,436.5,84347.27,21.9,5720,78,0.786924743608262,0.00812241995281429,0.624
"72","GLEN ECHO","Issued",125,10384500,10384500,50978.9743589744,25000,1988180,1180,5e+05,536.825,290.5,21473,15,6667,40,0.191456497664789,0.00206779334585199,0.32
"73","GLEN ECHO","Open",125,10384500,10384500,24916.6666666667,7000,149500,2000,120000,392.333333333333,256,2354,60,1370,6,0.0143964562569214,0.000226684000192595,0.048
"74","GLEN ECHO","Stop Work",125,10384500,10384500,75000,75000,75000,75000,75000,325,325,325,325,325,1,0.00722230247002744,3.12966440367856e-05,0.008
"75","HIGHLAND","Finaled",17,956500,956500,70250,20000,562000,1000,425000,1285.5,437.5,10284,25,6560,8,0.587558808154731,0.0107516989022478,0.470588235294118
"76","HIGHLAND","Issued",17,956500,956500,52416.6666666667,40000,314500,2000,150000,1424.83333333333,1378,8549,168,2843,6,0.328802927339258,0.00893779404077365,0.352941176470588
"77","HIGHLAND","Open",17,956500,956500,26666.6666666667,15000,80000,5000,60000,1138.66666666667,1296,3416,320,1800,3,0.0836382645060115,0.00357135389440669,0.176470588235294
"78","KENSINGTON","Finaled",5365,414632801.98,414632801.98,87851.1003574492,25760,307215297.95,0,7e+06,1001.76194318182,369,3526202.04,0,15250,3565,0.740933415019149,0.00850439719954932,0.664492078285182
"79","KENSINGTON","Issued",5365,414632801.98,414632801.98,62072.7458484006,15000,89260608.53,0,2200000,734.442643997224,300,1058331.85,0,10763,1488,0.215276283264983,0.00255245567872618,0.27735321528425
"80","KENSINGTON","Open",5365,414632801.98,414632801.98,56682.3867924528,10000,12016666,0,7e+05,879.643192488263,300,187364,0,35784,215,0.0289814649073028,0.000451879347473907,0.0400745573159366
"81","KENSINGTON","Stop Work",5365,414632801.98,414632801.98,63301.3350515464,30000,6140229.5,0,7e+05,723.656082474227,360,70194.64,0,6914,97,0.0148088368085653,0.000169293504191658,0.0180801491146319
"82","LAUREL","Finaled",93,6379309.06,6379309.06,66992.1647272727,18000,3684569.06,0,1192000,1845.51785714286,654,103349,0,12214,57,0.57758121221987,0.016200657316954,0.612903225806452
"83","LAUREL","Issued",93,6379309.06,6379309.06,70419.0322580645,15000,2182990,500,6e+05,1291.6875,565,41334,5,8000,32,0.34219850135306,0.00647938508876696,0.344086021505376
"84","LAUREL","Open",93,6379309.06,6379309.06,250,250,250,250,250,500,500,500,500,500,1,3.91891970821053e-05,7.83783941642106e-05,0.010752688172043
"85","LAUREL","Stop Work",93,6379309.06,6379309.06,170500,9000,511500,2500,5e+05,1813,200,5439,100,5139,3,0.0801810972299875,0.000852600171718283,0.032258064516129
"86","LAYTONSVILLE","Finaled",14,1256700,1256700,106218.181818182,24000,1168400,5400,350000,3516.36363636364,1700,38680,154,8905,11,0.929736611760961,0.0307790244290602,0.785714285714286
"87","LAYTONSVILLE","Issued",14,1256700,1256700,29433.3333333333,10000,88300,3300,75000,1852.66666666667,300,5558,256,5002,3,0.0702633882390388,0.00442269435823983,0.214285714285714
"88","MONROVIA","Issued",2,505736,505736,5e+05,5e+05,5e+05,5e+05,5e+05,206,206,206,206,206,1,0.988658114114874,0.000407327143015328,0.5
"89","MONROVIA","Open",2,505736,505736,5736,5736,5736,5736,5736,300,300,300,300,300,1,0.0113418858851258,0.000593194868468925,0.5
"90","MONTGOMERY VILLAGE","Finaled",1818,46480292.93,46480292.93,25035.1497695853,12000,32595765,0,1210467,606.19758114374,368.5,784419.67,0,28176,1325,0.701281402186722,0.0168763925645079,0.728822882288229
"91","MONTGOMERY VILLAGE","Issued",1818,46480292.93,46480292.93,25052.3919543147,10000,9870642.43,50,150000,600.944524421594,335,233767.42,0,3600,401,0.212361880869928,0.00502938783867084,0.220572057205721
"92","MONTGOMERY VILLAGE","Open",1818,46480292.93,46480292.93,50028.1044776119,16800,3351883,100,375994,707.880597014925,326,47428,10,4070,68,0.0721140678921276,0.00102038943841054,0.0374037403740374
"93","MONTGOMERY VILLAGE","Stop Work",1818,46480292.93,46480292.93,27583.4375,14295.75,662002.5,350,95000,624.416666666667,448.5,14986,40,2376,24,0.0142426490512223,0.000322416212448771,0.0132013201320132
"94","MOUNT AIRY","Finaled",74,7596768,7596768,133990.619047619,47500,5627606,300,650000,2281.51111111111,1075,102668,30,9934,45,0.740789504168088,0.0135146946701545,0.608108108108108
"95","MOUNT AIRY","Issued",74,7596768,7596768,52225.5454545455,30000,1148962,1600,280000,1311.4,1113,32785,128,4200,25,0.151243528826996,0.00431565107687901,0.337837837837838
"96","MOUNT AIRY","Open",74,7596768,7596768,20100,20100,40200,6200,34000,610,610,1220,320,900,2,0.00529172405949477,0.000160594610760787,0.027027027027027
"97","MOUNT AIRY","Stop Work",74,7596768,7596768,390000,390000,780000,30000,750000,1117.9,1117.9,2235.8,735.8,1500,2,0.102675242945421,0.00029430936945817,0.027027027027027
"98","MT AIRY","Finaled",2,315000,315000,157500,157500,315000,15000,3e+05,2886.5,2886.5,5773,160,5613,2,1,0.0183269841269841,1
"99","NORTH BETHESDA","Finaled",21,436747,436747,29999,9000,389987,1312,150000,1101.15384615385,337,14315,90,5500,13,0.892935727091428,0.0327764128889265,0.619047619047619
"100","NORTH BETHESDA","Issued",21,436747,436747,5845,6145,46760,2500,8000,207.125,203,1657,40,308,8,0.107064272908572,0.00379395851602873,0.380952380952381
"101","NORTH POTOMAC","Finaled",20,1380300,1380300,52858.3333333333,28000,634300,3500,2e+05,826.583333333333,325,9919,188,5808,12,0.459537781641672,0.00718611895964645,0.6
"102","NORTH POTOMAC","Issued",20,1380300,1380300,56571.4285714286,30000,396000,4000,152000,807.714285714286,864,5654,100,1284,7,0.286894153444903,0.00409621096863001,0.35
"103","NORTH POTOMAC","Open",20,1380300,1380300,350000,350000,350000,350000,350000,2323,2323,2323,2323,2323,1,0.253568064913425,0.00168296747083967,0.05
"104","O","Issued",1,4000,4000,4000,4000,4000,4000,4000,700,700,700,700,700,1,1,0.175,1
"105","OLNEY","Finaled",4789,239870036.37,239870036.37,56242.7801416516,19007,186613544.51,0,1030000,1401.34673100121,437.5,4646865.76,0,14767,3359,0.777977722161797,0.0193724311311322,0.701399039465442
"106","OLNEY","Issued",4789,239870036.37,239870036.37,39712.14680798,10000,47773712.61,0,6938000,646.261251035625,324,780037.33,0,11312,1228,0.199164986727683,0.00325191650363862,0.256420964710796
"107","OLNEY","Open",4789,239870036.37,239870036.37,20554.4148148148,8000,2774846,0,330000,388.618518518518,252,52463.5,0,2440,135,0.0115681226467144,0.00021871635488092,0.0281896011693464
"108","OLNEY","Stop Work",4789,239870036.37,239870036.37,40416.9141791045,28750,2707933.25,826,211000,665.206515151515,547.955,43903.63,40.8,3456,67,0.0112891684638052,0.00018303090567043,0.0139903946544164
"109","POOLESVILE","Issued",1,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,5590,5590,5590,5590,5590,1,1,0.02795,1
"110","POOLESVILLE","Finaled",2018,160713253.6,160713253.6,90427.8327021122,30000,124157414.3,0,4e+06,1786.33602166065,624,2474075.39,0,13292,1399,0.772539983597221,0.0153943457342836,0.693260654112983
"111","POOLESVILLE","Issued",2018,160713253.6,160713253.6,55530.275,17335,27320895.3,0,1346000,1240.77914110429,512,606741,0,15598,505,0.169997773599924,0.00377530157848786,0.250247770069376
"112","POOLESVILLE","Open",2018,160713253.6,160713253.6,48187.3291139241,12000,3806799,0,7e+05,1325.98734177215,300,104753,0,27405,79,0.0236869014516672,0.000651800630337061,0.0391476709613479
"113","POOLESVILLE","Stop Work",2018,160713253.6,160713253.6,159651.323529412,199000,5428145,2500,6e+05,2981.04971428571,2745,104336.74,1,8357,35,0.0337753413511877,0.000649210551481238,0.0173439048562934
"114","POTOMAC","Finaled",11232,1543354825.46,1543354825.46,136250.871152041,30000,957979875.07,0,1e+08,1582.29394855851,520,11196311.98,0,36669,7204,0.620712657430849,0.00725452876765582,0.641381766381766
"115","POTOMAC","Issued",11232,1543354825.46,1543354825.46,152911.614409333,27417.5,517758726.39,0,1.5e+08,1358.34607534856,528,4578984.62,0,145000,3475,0.33547614446709,0.00296690336173033,0.309383903133903
"116","POTOMAC","Open",11232,1543354825.46,1543354825.46,119619.044152745,20000,50120379.5,0,6e+06,1747.77352245863,400,739308.2,0,104557,424,0.0324749556441511,0.000479026720106083,0.0377492877492877
"117","POTOMAC","Stop Work",11232,1543354825.46,1543354825.46,136686.28515625,28638,17495844.5,0,4530000,1204.39534883721,384,155367,0,16002,129,0.01133624245791,0.00010066836053316,0.0114850427350427
"118","ROCKVILLE","Finaled",13200,739029696.32,739029696.32,61745.4520249185,19470,530269941.99,0,13068375,1065.09324913094,400,9191754.74,0,51069,8750,0.717521832519695,0.0124375986320582,0.662878787878788
"119","ROCKVILLE","Issued",13200,739029696.32,739029696.32,47748.5900855676,12725,167406556.84,0,13076602,693.90699603624,352,2450879.51,0,19123,3607,0.226522097384721,0.00331634780334831,0.273257575757576
"120","ROCKVILLE","Open",13200,739029696.32,739029696.32,37539.5534749621,7000,24738565.74,0,1900000,680.379456193353,263,450411.2,0,43124,668,0.0334743865682066,0.000609462924484393,0.0506060606060606
"121","ROCKVILLE","Stop Work",13200,739029696.32,739029696.32,96038.3338150289,20000,16614631.75,0,3500000,1062.51354285714,430,185939.87,0,17039,175,0.0224816835273773,0.000251599997842966,0.0132575757575758
"122","SANDY SPRING","Finaled",813,96612719,96612719,130894.478499157,55000,77620425.75,0,1500000,2518.53293624161,1200,1501045.63,10,20000,601,0.803418292678421,0.015536728968367,0.739237392373924
"123","SANDY SPRING","Issued",813,96612719,96612719,92298.5813953488,25000,15875356,4,2526640,1642.96531791908,800,284233,0,8326,179,0.164319524016294,0.00294198323928757,0.220172201722017
"124","SANDY SPRING","Open",813,96612719,96612719,101083.636363636,33162,2223840,5000,272000,1426.95454545455,857,31393,20,5800,22,0.0230180872975948,0.000324936512758739,0.027060270602706
"125","SANDY SPRING","Stop Work",813,96612719,96612719,81190.6590909091,90000,893097.25,2000,210000,2313.81818181818,3192,25452,0,3590,11,0.00924409600769025,0.000263443574132304,0.013530135301353
"126","SILVER SPRING","Finaled",35380,1717724792.81,1717724792.81,53647.5298640727,18304,1262970148.06,-300,8874000,937.845676555105,388,22193180.09,0,45000,23910,0.73525756474291,0.0129201023254106,0.675805539853024
"127","SILVER SPRING","Issued",35380,1717724792.81,1717724792.81,36764.9915770569,10500,327539309.96,0,9259701,623.536342582233,300,5573167.83,0,16894,9164,0.190682064630495,0.00324450567013296,0.259016393442623
"128","SILVER SPRING","Open",35380,1717724792.81,1717724792.81,46464.975215204,7000,83125840.66,0,9300000,600.043987730061,267,1075878.87,0,23000,1809,0.0483929911286986,0.000626339489598905,0.0511305822498587
"129","SILVER SPRING","Stop Work",35380,1717724792.81,1717724792.81,88890.1091330645,27183,44089494.13,0,4e+06,1423.92513131313,500,704842.94,0,11214,497,0.0256673794978966,0.000410335196272598,0.0140474844544941
"130","SPENCERVILLE","Finaled",189,16940441,16940441,102844.850393701,45000,13061296,0,1e+06,2279.36238095238,1160,287199.66,12,8817,127,0.771012749904209,0.0169534937136524,0.671957671957672
"131","SPENCERVILLE","Issued",189,16940441,16940441,49252.7884615385,25500,2561145,650,250000,1367.125,590,71090.5,54,7694,53,0.151185261351815,0.00419649641942615,0.28042328042328
"132","SPENCERVILLE","Open",189,16940441,16940441,146444.444444444,30000,1318000,500,7e+05,2522.66666666667,520,22704,50,9632,9,0.0778019887439766,0.00134022485010868,0.0476190476190476
"133","TAKOMA PARK","Finaled",3487,197207393.69,197207393.69,58798.079539356,23521.5,131472505.85,0,2e+06,590.206696468485,334,1320292.38,0,14655,2267,0.666671281385464,0.00669494360883564,0.650129050759966
"134","TAKOMA PARK","Issued",3487,197207393.69,197207393.69,53316.0511704312,18000,51929833.84,0,2300000,586.404568788501,300,571158.05,0,5798,1002,0.263325998423929,0.00289623040654262,0.287353025523373
"135","TAKOMA PARK","Open",3487,197207393.69,197207393.69,70244.5217391304,11000,11309368,0,4120000,538.149386503067,200,87718.35,0,10000,167,0.0573475861547958,0.000444802541926439,0.0478921709205621
